ts,computer,event_id,image,command_line,target_object,message,level,source,label
2025-12-02 00:04:04.427000+00:00,Active_Directory_Server,4688,,,,"""A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		AD-DC-SERVER$
	Account Domain:		SOC
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x15a8
	New Process Name:	C:\Windows\System32\wermgr.exe
	Token Elevation Type:	TokenElevationTypeDefault (1)
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0x598
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.""",3,wazuh,0
2025-12-02 00:07:15.286000+00:00,Active_Directory_Server,4688,,,,"""A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		AD-DC-SERVER$
	Account Domain:		SOC
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x18ac
	New Process Name:	C:\Windows\System32\rundll32.exe
	Token Elevation Type:	TokenElevationTypeDefault (1)
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0x598
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.""",3,wazuh,0
2025-12-02 00:07:15.327000+00:00,Active_Directory_Server,1,C:\\Windows\\System32\\rundll32.exe,"C:\\Windows\\system32\\rundll32.exe C:\\Windows\\system32\\PcaSvc.dll,PcaPatchSdbTask",,"""Process Create:
RuleName: -
UtcTime: 2025-12-02 00:07:16.867
ProcessGuid: {b4c300ce-2db4-692e-e810-000000001100}
ProcessId: 6316
Image: C:\Windows\System32\rundll32.exe
FileVersion: 10.0.20348.1 (WinBuild.160101.0800)
Description: Windows host process (Rundll32)
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: RUNDLL32.EXE
CommandLine: C:\Windows\system32\rundll32.exe C:\Windows\system32\PcaSvc.dll,PcaPatchSdbTask
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {b4c300ce-31c3-6928-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=F5B2D37BED0D2B15957736C23B9F547F,SHA256=0BB68E54629555FB9F70FB8D7B95FE1A5F987EEEEF57DE0A2671EEB14063CED1,IMPHASH=5C68DE198B5D2DD5C1129782AD19676C
ParentProcessGuid: {b4c300ce-31c4-6928-2100-000000001100}
ParentProcessId: 1432
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule
ParentUser: NT AUTHORITY\SYSTEM""",3,wazuh,0
2025-12-02 00:11:40.520000+00:00,Active_Directory_Server,4688,,,,"""A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		AD-DC-SERVER$
	Account Domain:		SOC
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		AD-DC-SERVER$
	Account Domain:		SOC
	Logon ID:		0x3E4

Process Information:
	New Process ID:		0x8
	New Process Name:	C:\Windows\System32\sppsvc.exe
	Token Elevation Type:	TokenElevationTypeDefault (1)
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0x274
	Creator Process Name:	C:\Windows\System32\services.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.""",3,wazuh,0
2025-12-02 00:11:40.521000+00:00,Active_Directory_Server,4673,,,,"""A privileged service was called.

Subject:
	Security ID:		S-1-5-20
	Account Name:		AD-DC-SERVER$
	Account Domain:		SOC
	Logon ID:		0x3E4

Service:
	Server:	Security
	Service Name:	-

Process:
	Process ID:	0x8
	Process Name:	C:\Windows\System32\sppsvc.exe

Service Request Information:
	Privileges:		SeProfileSingleProcessPrivilege""",4,wazuh,0
2025-12-02 00:12:09.661000+00:00,Active_Directory_Server,16384,,,,"""Successfully scheduled Software Protection service for re-start at 2026-01-27T06:13:12Z. Reason: RulesEngine.""",3,wazuh,0
2025-12-02 00:13:05.378000+00:00,Active_Directory_Server,4688,,,,"""A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		AD-DC-SERVER$
	Account Domain:		SOC
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x104
	New Process Name:	C:\Windows\System32\svchost.exe
	Token Elevation Type:	TokenElevationTypeDefault (1)
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0x274
	Creator Process Name:	C:\Windows\System32\services.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.""",3,wazuh,0
2025-12-02 00:16:48.239000+00:00,Active_Directory_Server,1,C:\\Windows\\System32\\MoUsoCoreWorker.exe,C:\\Windows\\System32\\mousocoreworker.exe -Embedding,,"""Process Create:
RuleName: -
UtcTime: 2025-12-02 00:16:49.823
ProcessGuid: {b4c300ce-2ff1-692e-eb10-000000001100}
ProcessId: 4432
Image: C:\Windows\System32\MoUsoCoreWorker.exe
FileVersion: 10.0.20348.380 (WinBuild.160101.0800)
Description: MoUSO Core Worker Process
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: MoUSOCoreWorker.exe
CommandLine: C:\Windows\System32\mousocoreworker.exe -Embedding
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {b4c300ce-31c3-6928-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=A01716583968F60BD83C4830C3B3FCDA,SHA256=F4E3B06DFF2B91150FBE3E06329CAF45674DC505495FC96F32BEBF6FAE08DF6E,IMPHASH=7D3978CBEEDF0AC8C9F49FED049B426E
ParentProcessGuid: {b4c300ce-31c4-6928-0d00-000000001100}
ParentProcessId: 844
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM""",3,wazuh,0
2025-12-02 00:16:48.253000+00:00,Active_Directory_Server,4688,,,,"""A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		AD-DC-SERVER$
	Account Domain:		SOC
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x1150
	New Process Name:	C:\Windows\System32\MoUsoCoreWorker.exe
	Token Elevation Type:	TokenElevationTypeDefault (1)
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0x34c
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.""",3,wazuh,0
2025-12-02 00:16:48.300000+00:00,Active_Directory_Server,4688,,,,"""A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		AD-DC-SERVER$
	Account Domain:		SOC
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x197c
	New Process Name:	C:\Windows\System32\svchost.exe
	Token Elevation Type:	TokenElevationTypeDefault (1)
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0x274
	Creator Process Name:	C:\Windows\System32\services.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.""",3,wazuh,0
